,price,address,proptype,region,city,bedrooms,bathrooms,sqft
0,655000,307-928 Beatty Street,Apt/Condo,Yaletown,Vancouver,1,1,618
1,8998000,4843 College Highroad,House,University (Ubc),Vancouver,5,7,4250
2,1888000,717 E 61st Avenue,House,South Vancouver,Vancouver,8,6,2936
3,3680000,3479 W 19th Avenue,House,Dunbar,Vancouver,7,3,3104
4,1248800,7859 Granville Street,Townhouse,South Granville,Vancouver,3,2,1023
5,3880000,4238 W 14th Avenue,House,Point Grey,Vancouver,5,5,2822
6,1269900,1339 W 7th Avenue,Townhouse,Fairview,Vancouver,2,3,1201
7,4788000,3179 W 49th Avenue,House,Southlands,Vancouver,5,4,5388
8,5690000,4438 Brakenridge Street,House,Quilchena,Vancouver,6,7,4350
9,599000,1807-833 Homer Street,Apt/Condo,Downtown West,Vancouver,1,1,527
10,1799000,2486 E 4th Avenue,House,Renfrew,Vancouver,6,4,2964
11,829000,1109-188 Keefer Street,Apt/Condo,Downtown East,Vancouver,3,2,875
12,599000,1101-58 Keefer Place,Apt/Condo,Downtown West,Vancouver,1,1,620
13,2168000,1601-2411 Heather Street,Apt/Condo,Fairview,Vancouver,3,2,1452
14,1498000,8191 Elliott Street,House,Fraserview East,Vancouver,5,3,2370
15,2380000,989 W 64th Avenue,House,Marpole,Vancouver,4,4,2581
16,795000,2253 E 35th Avenue,Duplex,Victoria East,Vancouver,2,2,785
17,3838000,731 W 17th Avenue,House,Fairview,Vancouver,4,8,3270
18,1980000,1938 E 64th Avenue,House,Fraserview East,Vancouver,6,5,3024
19,549000,317-1422 E 3rd Avenue,Apt/Condo,Grandview East,Vancouver,1,1,635
20,469000,2-2375 W Broadway,Apt/Condo,Kitsilano,Vancouver,0,1,481
21,655000,1407-977 Mainland Street,Apt/Condo,Yaletown,Vancouver,1,1,561
22,655000,307-928 Beatty Street,Apt/Condo,Yaletown,Vancouver,1,1,618
23,1448000,1401-1205 Howe Street,Apt/Condo,Downtown West,Vancouver,2,2,1248
24,828000,1604-1708 Ontario Street,Apt/Condo,Mount Pleasant East,Vancouver,1,1,610
25,688000,310-58 Keefer Place,Apt/Condo,Downtown West,Vancouver,1,1,623
26,1698888,2825 E 43 Avenue,Duplex,Killarney,Vancouver,4,4,2018
27,1169900,1203-1708 Ontario Street,Apt/Condo,Mount Pleasant East,Vancouver,2,2,900
28,3388000,3872 W 10th Avenue,House,Point Grey,Vancouver,4,6,2780
29,1098000,205-388 Drake Street,Apt/Condo,Yaletown,Vancouver,2,2,1096
30,998000,3206-1200 W Georgia Street,Apt/Condo,West End,Vancouver,2,2,1002
31,799900,7-939 W 7th Avenue,Apt/Condo,Fairview,Vancouver,2,2,830
32,788000,3102-1283 Howe Street,Apt/Condo,Downtown West,Vancouver,1,1,562
33,899000,2101-1325 Rolston Street,Apt/Condo,Downtown West,Vancouver,2,2,840
34,2498000,1948 W 41st Avenue,House,Kerrisdale,Vancouver,4,2,1730
35,2450000,6281 Knight Street,House,Knight,Vancouver,5,4,2383
36,8998000,4843 College Highroad,House,University (Ubc),Vancouver,5,7,4250
37,1988800,7857 Granville Street,Townhouse,South Granville,Vancouver,4,4,1784
38,699000,2508-777 Richards Street,Apt/Condo,Downtown West,Vancouver,1,1,573
39,1030800,TH7-1488 Park Drive,Townhouse,Marpole,Vancouver,2,2,943
40,774900,2404-1188 Howe Street,Apt/Condo,Downtown West,Vancouver,2,2,743
41,590000,104-315 Renfrew Street,Apt/Condo,Hastings Sunrise,Vancouver,2,1,858
42,1388000,7320 Inverness Street,House,South Vancouver,Vancouver,5,2,1858
43,1600800,TH3-1488 Park Drive,Townhouse,Marpole,Vancouver,3,3,1374
44,2998000,5505-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,2,3,1593
45,1148000,2603-188 Keefer Place,Apt/Condo,Downtown West,Vancouver,2,2,1027
46,1098000,1507-3487 Binning Road,Apt/Condo,University (Ubc),Vancouver,2,2,907
47,4288000,2917 W 20th Avenue,House,Arbutus,Vancouver,5,5,3663
48,4980000,4035 W 30th Avenue,House,Dunbar,Vancouver,6,4,2910
49,549000,1605-1308 Hornby Street,Apt/Condo,Downtown West,Vancouver,1,1,465
50,1399900,2552 E 29th Avenue,House,Collingwood,Vancouver,3,4,1658
51,999900,4525 Clarendon Street,Townhouse,Collingwood,Vancouver,2,2,1003
52,1998000,2549 E 27th Avenue,House,Collingwood,Vancouver,10,8,3076
53,1548800,Th 107-980 Cooperage Way,Townhouse,Yaletown,Vancouver,2,3,1295
