,price,address,proptype,region,city,bedrooms,bathrooms,sqft
0,699900,1101-183 Keefer Place,Apt/Condo,Downtown West,Vancouver,2,1,759
1,1275000,1005-1450 Pennyfarthing Drive,Apt/Condo,False Creek,Vancouver,2,2,1156
2,599000,1807-833 Homer Street,Apt/Condo,Downtown West,Vancouver,1,1,527
3,829000,1109-188 Keefer Street,Apt/Condo,Downtown East,Vancouver,3,2,875
4,599000,1101-58 Keefer Place,Apt/Condo,Downtown West,Vancouver,1,1,620
5,2168000,1601-2411 Heather Street,Apt/Condo,Fairview,Vancouver,3,2,1452
6,549000,317-1422 E 3rd Avenue,Apt/Condo,Grandview East,Vancouver,1,1,635
7,469000,2-2375 W Broadway,Apt/Condo,Kitsilano,Vancouver,0,1,481
8,655000,1407-977 Mainland Street,Apt/Condo,Yaletown,Vancouver,1,1,561
9,828000,1604-1708 Ontario Street,Apt/Condo,Mount Pleasant East,Vancouver,1,1,610
10,688000,310-58 Keefer Place,Apt/Condo,Downtown West,Vancouver,1,1,623
11,1169900,1203-1708 Ontario Street,Apt/Condo,Mount Pleasant East,Vancouver,2,2,900
12,1098000,205-388 Drake Street,Apt/Condo,Yaletown,Vancouver,2,2,1096
13,998000,3206-1200 W Georgia Street,Apt/Condo,West End,Vancouver,2,2,1002
14,799900,7-939 W 7th Avenue,Apt/Condo,Fairview,Vancouver,2,2,830
15,788000,3102-1283 Howe Street,Apt/Condo,Downtown West,Vancouver,1,1,562
16,899000,2101-1325 Rolston Street,Apt/Condo,Downtown West,Vancouver,2,2,840
17,699000,2508-777 Richards Street,Apt/Condo,Downtown West,Vancouver,1,1,573
18,774900,2404-1188 Howe Street,Apt/Condo,Downtown West,Vancouver,2,2,743
19,590000,104-315 Renfrew Street,Apt/Condo,Hastings Sunrise,Vancouver,2,1,858
20,1098000,1507-3487 Binning Road,Apt/Condo,University (Ubc),Vancouver,2,2,907
21,549000,1605-1308 Hornby Street,Apt/Condo,Downtown West,Vancouver,1,1,465
22,1465000,503-1499 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,2,3,1165
23,1029900,501-1003 Pacific Street,Apt/Condo,West End,Vancouver,2,2,1065
24,1275000,1005-1450 Pennyfarthing Drive,Apt/Condo,False Creek,Vancouver,2,2,1156
25,799900,905-4638 Gladstone Street,Apt/Condo,Victoria East,Vancouver,3,2,990
26,1200000,1107-159 W 2nd Avenue,Apt/Condo,False Creek,Vancouver,2,2,996
27,725000,1402-909 Mainland Street,Apt/Condo,Yaletown,Vancouver,1,1,663
