price, address, region, city, bedrooms, bathrooms, sqft 
1429000, 3303-1199 Marinaside Crescent, Vancouver, BC, V6Z 2Y2, Yaletown, Vancouver, 2, 2, 1043, 
4900000, 4903-1480 Howe Street, Vancouver, BC, Yaletown, Vancouver, 3, 3, 2137, 
1888000, 717 E 61st Avenue, Vancouver, BC, V5X 2C1, South Vancouver, Vancouver, 8, 6, 2936, 
3680000, 3479 W 19th Avenue, Vancouver, BC, V6S 1C1, Dunbar, Vancouver, 7, 3, 3104, 
1248800, 7859 Granville Street, Vancouver, BC, V6P 4Z1, South Granville, Vancouver, 3, 2, 1023, 
3880000, 4238 W 14th Avenue, Vancouver, BC, V6R 2X8, Point Grey, Vancouver, 5, 5, 2822, 
1269900, 1339 W 7th Avenue, Vancouver, BC, V6H 1B8, Fairview, Vancouver, 2, 3, 1201, 
4788000, 3179 W 49th Avenue, Vancouver, BC, V6N 3T3, Southlands, Vancouver, 5, 4, 5388, 
5690000, 4438 Brakenridge Street, Vancouver, BC, V6L 2H2, Quilchena, Vancouver, 6, 7, 4350, 
599000, 1807-833 Homer Street, Vancouver, BC, V6B 0H4, Downtown West, Vancouver, 1, 1, 527, 
1799000, 2486 E 4th Avenue, Vancouver, BC, V5M 1J9, Renfrew, Vancouver, 6, 4, 2964, 
829000, 1109-188 Keefer Street, Vancouver, BC, V6A 0E3, Downtown East, Vancouver, 3, 2, 875, 
599000, 1101-58 Keefer Place, Vancouver, BC, V6B 0B8, Downtown West, Vancouver, 1, 1, 620, 
2168000, 1601-2411 Heather Street, Vancouver, BC, V5Z 0B7, Fairview, Vancouver, 3, 2, 1452, 
1498000, 8191 Elliott Street, Vancouver, BC, V5S 2P3, Fraserview East, Vancouver, 5, 3, 2370, 
2380000, 989 W 64th Avenue, Vancouver, BC, V6P 2M2, Marpole, Vancouver, 4, 4, 2581, 
795000, 2253 E 35th Avenue, Vancouver, BC, V5P 1C1, Victoria East, Vancouver, 2, 2, 785, 
3838000, 731 W 17th Avenue, Vancouver, BC, V5Z 1V1, Fairview, Vancouver, 4, 8, 3270, 
1980000, 1938 E 64th Avenue, Vancouver, BC, V5P 2N1, Fraserview East, Vancouver, 6, 5, 3024, 
549000, 317-1422 E 3rd Avenue, Vancouver, BC, V5N 5R5, Grandview East, Vancouver, 1, 1, 635, 
469000, 2-2375 W Broadway, Vancouver, BC, V6K 2E6, Kitsilano, Vancouver, 0, 1, 481, 
655000, 1407-977 Mainland Street, Vancouver, BC, V6B 1T2, Yaletown, Vancouver, 1, 1, 561, 
